Group	Measurement	Parameter	Unit	Value
H_300mN_NEW	2	HIT (O&P)	MPa	3651.022
H_300mN_NEW	2	HVIT (O&P)	Vickers	372.173
H_300mN_NEW	2	EIT (O&P)	GPa	63.169
H_300mN_NEW	2	E* (O&P)	GPa	71.426
H_300mN_NEW	2	Er (O&P)	GPa	67.238
H_300mN_NEW	2	hm (O&P)	nm	1751.356
H_300mN_NEW	2	Fm (O&P)	mN	299.463
H_300mN_NEW	2	S (O&P)	mN/nm	0.687
H_300mN_NEW	2	Poisson's ratio		0.340
H_300mN_NEW	2	hc (O&P)	nm	1403.971
H_300mN_NEW	2	hr (O&P)	nm	1315.532
H_300mN_NEW	2	hp (O&P)	nm	1233.303
H_300mN_NEW	2	Epsilon (O&P)		0.797
H_300mN_NEW	2	Ap (O&P)	nm©÷	82021592.000
H_300mN_NEW	2	m (O&P)		1.189
H_300mN_NEW	2	CIT	%	11.687
H_300mN_NEW	2	RIT	%	-0.108
H_300mN_NEW	2	Welast	pJ	74735.891
H_300mN_NEW	2	Wplast	pJ	215439.609
H_300mN_NEW	2	Wtotal	pJ	290175.500
H_300mN_NEW	2	nit	%	25.755
H_300mN_NEW	2	X	mm	12.899
H_300mN_NEW	2	Y	mm	40.926
H_300mN_NEW	2	F/S©÷(O&P)	nm©÷/mN	634.278
H_300mN_NEW	3	HIT (O&P)	MPa	3734.835
H_300mN_NEW	3	HVIT (O&P)	Vickers	380.717
H_300mN_NEW	3	EIT (O&P)	GPa	64.544
H_300mN_NEW	3	E* (O&P)	GPa	72.980
H_300mN_NEW	3	Er (O&P)	GPa	68.613
H_300mN_NEW	3	hm (O&P)	nm	1723.614
H_300mN_NEW	3	Fm (O&P)	mN	299.902
H_300mN_NEW	3	S (O&P)	mN/nm	0.694
H_300mN_NEW	3	Poisson's ratio		0.340
H_300mN_NEW	3	hc (O&P)	nm	1372.127
H_300mN_NEW	3	hr (O&P)	nm	1291.336
H_300mN_NEW	3	hp (O&P)	nm	1229.020
H_300mN_NEW	3	Epsilon (O&P)		0.813
H_300mN_NEW	3	Ap (O&P)	nm©÷	80298504.000
H_300mN_NEW	3	m (O&P)		1.144
H_300mN_NEW	3	CIT	%	10.229
H_300mN_NEW	3	RIT	%	-0.102
H_300mN_NEW	3	Welast	pJ	73714.586
H_300mN_NEW	3	Wplast	pJ	205595.844
H_300mN_NEW	3	Wtotal	pJ	279310.438
H_300mN_NEW	3	nit	%	26.392
H_300mN_NEW	3	X	mm	12.699
H_300mN_NEW	3	Y	mm	41.126
H_300mN_NEW	3	F/S©÷(O&P)	nm©÷/mN	623.087
H_300mN_NEW	4	HIT (O&P)	MPa	3739.824
