Group	Measurement	Parameter	Unit	Value
Auto-created group	1	HIT (O&P)	GPa	6.328
Auto-created group	1	HVIT (O&P)	Vickers	586.013
Auto-created group	1	EIT (O&P)	GPa	130.613
Auto-created group	1	E* (O&P)	GPa	143.530
Auto-created group	1	Er (O&P)	GPa	127.562
Auto-created group	1	hm (O&P)	nm	886.370
Auto-created group	1	Fm (O&P)	mN	80.019
Auto-created group	1	S (O&P)	mN/nm	0.529
Auto-created group	1	Poisson's ratio		0.300
Auto-created group	1	hc (O&P)	nm	771.651
Auto-created group	1	hr (O&P)	nm	735.181
Auto-created group	1	hp (O&P)	nm	674.329
Auto-created group	1	Epsilon (O&P)		0.759
Auto-created group	1	Ap (O&P)	nm²	12645817.000
Auto-created group	1	m (O&P)		1.402
Auto-created group	1	CIT	%	2.023
Auto-created group	1	RIT	%	-1.123
Auto-created group	1	Welast	pJ	7262.482
Auto-created group	1	Wplast	pJ	18363.855
Auto-created group	1	Wtotal	pJ	25626.336
Auto-created group	1	nit	%	28.340
Auto-created group	1	X	µm	11356.266
Auto-created group	1	Y	µm	37611.199
Auto-created group	1	F/S²(O&P)	nm²/mN	285.660
Auto-created group	2	HIT (O&P)	GPa	4.351
Auto-created group	2	HVIT (O&P)	Vickers	443.575
Auto-created group	2	EIT (O&P)	GPa	111.641
Auto-created group	2	E* (O&P)	GPa	122.682
Auto-created group	2	Er (O&P)	GPa	110.824
Auto-created group	2	hm (O&P)	nm	411.996
Auto-created group	2	Fm (O&P)	mN	79.998
Auto-created group	2	S (O&P)	mN/nm	0.536
Auto-created group	2	Poisson's ratio		0.300
Auto-created group	2	hc (O&P)	nm	297.003
Auto-created group	2	hr (O&P)	nm	262.796
Auto-created group	2	hp (O&P)	nm	216.578
Auto-created group	2	Epsilon (O&P)		0.771
Auto-created group	2	Ap (O&P)	nm²	18384134.000
Auto-created group	2	m (O&P)		1.310
Auto-created group	2	CIT	%	3.967
Auto-created group	2	RIT	%	-1.286
Auto-created group	2	Welast	pJ	6804.683
Auto-created group	2	Wplast	pJ	10048.989
Auto-created group	2	Wtotal	pJ	16853.672
Auto-created group	2	nit	%	40.375
Auto-created group	2	X	µm	11356.432
Auto-created group	2	Y	µm	37657.266
Auto-created group	2	F/S²(O&P)	nm²/mN	278.263
Y_HT_300mN	1	HIT (O&P)	GPa	3.684
Y_HT_300mN	1	HVIT (O&P)	Vickers	375.531
Y_HT_300mN	1	EIT (O&P)	GPa	88.131
Y_HT_300mN	1	E* (O&P)	GPa	96.847
Y_HT_300mN	1	Er (O&P)	GPa	89.304
Y_HT_300mN	1	hm (O&P)	nm	1654.506
Y_HT_300mN	1	Fm (O&P)	mN	299.830
Y_HT_300mN	1	S (O&P)	mN/nm	0.909
Y_HT_300mN	1	Poisson's ratio		0.300
Y_HT_300mN	1	hc (O&P)	nm	1392.247
Y_HT_300mN	1	hr (O&P)	nm	1324.693
Y_HT_300mN	1	hp (O&P)	nm	1260.721
Y_HT_300mN	1	Epsilon (O&P)		0.795
Y_HT_300mN	1	Ap (O&P)	nm²	81387960.000
Y_HT_300mN	1	m (O&P)		1.194
Y_HT_300mN	1	CIT	%	15.200
Y_HT_300mN	1	RIT	%	-0.099
Y_HT_300mN	1	Welast	pJ	59904.785
Y_HT_300mN	1	Wplast	pJ	226138.953
Y_HT_300mN	1	Wtotal	pJ	286043.750
Y_HT_300mN	1	nit	%	20.943
Y_HT_300mN	1	X	µm	11589.299
Y_HT_300mN	1	Y	µm	37890.598
Y_HT_300mN	1	G (Creep)	GPa	10.449
Y_HT_300mN	1	E (Creep)	GPa	27.168
Y_HT_300mN	1	K (Creep)	GPa	22.640
Y_HT_300mN	1	F/S²(O&P)	nm²/mN	362.795
Y_HT_300mN	2	HIT (O&P)	GPa	3.615
Y_HT_300mN	2	HVIT (O&P)	Vickers	368.504
Y_HT_300mN	2	EIT (O&P)	GPa	86.405
Y_HT_300mN	2	E* (O&P)	GPa	94.951
Y_HT_300mN	2	Er (O&P)	GPa	87.689
Y_HT_300mN	2	hm (O&P)	nm	1687.268
Y_HT_300mN	2	Fm (O&P)	mN	299.981
Y_HT_300mN	2	S (O&P)	mN/nm	0.901
Y_HT_300mN	2	Poisson's ratio		0.300
Y_HT_300mN	2	hc (O&P)	nm	1421.763
Y_HT_300mN	2	hr (O&P)	nm	1354.454
Y_HT_300mN	2	hp (O&P)	nm	1292.290
Y_HT_300mN	2	Epsilon (O&P)		0.798
Y_HT_300mN	2	Ap (O&P)	nm²	82981560.000
Y_HT_300mN	2	m (O&P)		1.187
Y_HT_300mN	2	CIT	%	11.495
Y_HT_300mN	2	RIT	%	-0.107
Y_HT_300mN	2	Welast	pJ	58068.730
Y_HT_300mN	2	Wplast	pJ	227077.672
Y_HT_300mN	2	Wtotal	pJ	285146.406
Y_HT_300mN	2	nit	%	20.365
Y_HT_300mN	2	X	µm	11789.299
Y_HT_300mN	2	Y	µm	37890.598
Y_HT_300mN	2	G (Creep)	GPa	11.183
Y_HT_300mN	2	E (Creep)	GPa	29.076
Y_HT_300mN	2	K (Creep)	GPa	24.230
Y_HT_300mN	2	F/S²(O&P)	nm²/mN	369.242
Y_HT_300mN	3	HIT (O&P)	GPa	3.832
Y_HT_300mN	3	HVIT (O&P)	Vickers	390.646
Y_HT_300mN	3	EIT (O&P)	GPa	88.379
Y_HT_300mN	3	E* (O&P)	GPa	97.120
Y_HT_300mN	3	Er (O&P)	GPa	89.536
Y_HT_300mN	3	hm (O&P)	nm	1599.926
Y_HT_300mN	3	Fm (O&P)	mN	300.061
Y_HT_300mN	3	S (O&P)	mN/nm	0.894
Y_HT_300mN	3	Poisson's ratio		0.300
Y_HT_300mN	3	hc (O&P)	nm	1335.328
Y_HT_300mN	3	hr (O&P)	nm	1264.284
Y_HT_300mN	3	hp (O&P)	nm	1189.698
Y_HT_300mN	3	Epsilon (O&P)		0.788
Y_HT_300mN	3	Ap (O&P)	nm²	78299360.000
Y_HT_300mN	3	m (O&P)		1.222
Y_HT_300mN	3	CIT	%	11.419
Y_HT_300mN	3	RIT	%	-0.130
Y_HT_300mN	3	Welast	pJ	58725.863
Y_HT_300mN	3	Wplast	pJ	208999.797
Y_HT_300mN	3	Wtotal	pJ	267725.656
Y_HT_300mN	3	nit	%	21.935
Y_HT_300mN	3	X	µm	11589.299
Y_HT_300mN	3	Y	µm	38090.598
Y_HT_300mN	3	G (Creep)	GPa	12.130
Y_HT_300mN	3	E (Creep)	GPa	31.539
