Group	Measurement	Parameter	Unit	Value
Y_HT_300mN	1	HIT (O&P)	GPa	3.684
Y_HT_300mN	1	HVIT (O&P)	Vickers	375.531
Y_HT_300mN	1	EIT (O&P)	GPa	88.131
Y_HT_300mN	1	E* (O&P)	GPa	96.847
Y_HT_300mN	1	Er (O&P)	GPa	89.304
Y_HT_300mN	1	hm (O&P)	nm	1654.506
Y_HT_300mN	1	Fm (O&P)	mN	299.830
Y_HT_300mN	1	S (O&P)	mN/nm	0.909
Y_HT_300mN	1	Poisson's ratio		0.300
Y_HT_300mN	1	hc (O&P)	nm	1392.247
Y_HT_300mN	1	hr (O&P)	nm	1324.693
Y_HT_300mN	1	hp (O&P)	nm	1260.721
Y_HT_300mN	1	Epsilon (O&P)		0.795
Y_HT_300mN	1	Ap (O&P)	nm²	81387960.000
Y_HT_300mN	1	m (O&P)		1.194
Y_HT_300mN	1	CIT	%	15.200
Y_HT_300mN	1	RIT	%	-0.099
Y_HT_300mN	1	Welast	pJ	59904.785
Y_HT_300mN	1	Wplast	pJ	226138.953
Y_HT_300mN	1	Wtotal	pJ	286043.750
Y_HT_300mN	1	nit	%	20.943
Y_HT_300mN	1	X	µm	11589.299
Y_HT_300mN	1	Y	µm	37890.598
Y_HT_300mN	1	G (Creep)	GPa	10.449
Y_HT_300mN	1	E (Creep)	GPa	27.168
Y_HT_300mN	1	K (Creep)	GPa	22.640
Y_HT_300mN	1	F/S²(O&P)	nm²/mN	362.795
Y_HT_300mN	2	HIT (O&P)	GPa	3.615
Y_HT_300mN	2	HVIT (O&P)	Vickers	368.504
Y_HT_300mN	2	EIT (O&P)	GPa	86.405
Y_HT_300mN	2	E* (O&P)	GPa	94.951
Y_HT_300mN	2	Er (O&P)	GPa	87.689
Y_HT_300mN	2	hm (O&P)	nm	1687.268
Y_HT_300mN	2	Fm (O&P)	mN	299.981
Y_HT_300mN	2	S (O&P)	mN/nm	0.901
Y_HT_300mN	2	Poisson's ratio		0.300
Y_HT_300mN	2	hc (O&P)	nm	1421.763
Y_HT_300mN	2	hr (O&P)	nm	1354.454
Y_HT_300mN	2	hp (O&P)	nm	1292.290
Y_HT_300mN	2	Epsilon (O&P)		0.798
Y_HT_300mN	2	Ap (O&P)	nm²	82981560.000
Y_HT_300mN	2	m (O&P)		1.187
Y_HT_300mN	2	CIT	%	11.495
Y_HT_300mN	2	RIT	%	-0.107
Y_HT_300mN	2	Welast	pJ	58068.730
Y_HT_300mN	2	Wplast	pJ	227077.672
Y_HT_300mN	2	Wtotal	pJ	285146.406
Y_HT_300mN	2	nit	%	20.365
