X_Gd_197_0.005_1_Pd_[nm]	Y_Gd_197_0.005_1_Hardness (H)_[MPa]	X_Gd_197_0.005_2_Pd_[nm]	Y_Gd_197_0.005_2_Hardness (H)_[MPa]	X_Gd_197_0.005_3_Pd_[nm]	Y_Gd_197_0.005_3_Hardness (H)_[MPa]	X_Gd_197_0.005_4_Pd_[nm]	Y_Gd_197_0.005_4_Hardness (H)_[MPa]	X_Gd_197_0.02_1_Pd_[nm]	Y_Gd_197_0.02_1_Hardness (H)_[MPa]	X_Gd_197_0.02_2_Pd_[nm]	Y_Gd_197_0.02_2_Hardness (H)_[MPa]	X_Gd_197_0.02_3_Pd_[nm]	Y_Gd_197_0.02_3_Hardness (H)_[MPa]	X_Gd_197_0.02_4_Pd_[nm]	Y_Gd_197_0.02_4_Hardness (H)_[MPa]	X_Gd_197_0.05_1_Pd_[nm]	Y_Gd_197_0.05_1_Hardness (H)_[MPa]	X_Gd_197_0.05_2_Pd_[nm]	Y_Gd_197_0.05_2_Hardness (H)_[MPa]	X_Gd_197_0.05_3_Pd_[nm]	Y_Gd_197_0.05_3_Hardness (H)_[MPa]	X_Gd_197_0.05_4_Pd_[nm]	Y_Gd_197_0.05_4_Hardness (H)_[MPa]	X_Gd_197_0.2_1_Pd_[nm]	Y_Gd_197_0.2_1_Hardness (H)_[MPa]	X_Gd_197_0.2_2_Pd_[nm]	Y_Gd_197_0.2_2_Hardness (H)_[MPa]	X_Gd_197_0.2_3_Pd_[nm]	Y_Gd_197_0.2_3_Hardness (H)_[MPa]	X_Gd_197_0.2_4_Pd_[nm]	Y_Gd_197_0.2_4_Hardness (H)_[MPa]	X_Gd_190_0.005_1_Pd_[nm]	Y_Gd_190_0.005_1_Hardness (H)_[MPa]	X_Gd_190_0.005_2_Pd_[nm]	Y_Gd_190_0.005_2_Hardness (H)_[MPa]	X_Gd_190_0.005_3_Pd_[nm]	Y_Gd_190_0.005_3_Hardness (H)_[MPa]	X_Gd_190_0.005_4_Pd_[nm]	Y_Gd_190_0.005_4_Hardness (H)_[MPa]	X_Gd_190_0.02_1_Pd_[nm]	Y_Gd_190_0.02_1_Hardness (H)_[MPa]	X_Gd_190_0.02_2_Pd_[nm]	Y_Gd_190_0.02_2_Hardness (H)_[MPa]	X_Gd_190_0.02_3_Pd_[nm]	Y_Gd_190_0.02_3_Hardness (H)_[MPa]	X_Gd_190_0.02_4_Pd_[nm]	Y_Gd_190_0.02_4_Hardness (H)_[MPa]	X_Gd_190_0.02_5_Pd_[nm]	Y_Gd_190_0.02_5_Hardness (H)_[MPa]	X_Gd_190_0.05_1_Pd_[nm]	Y_Gd_190_0.05_1_Hardness (H)_[MPa]	X_Gd_190_0.05_2_Pd_[nm]	Y_Gd_190_0.05_2_Hardness (H)_[MPa]	X_Gd_190_0.05_3_Pd_[nm]	Y_Gd_190_0.05_3_Hardness (H)_[MPa]	X_Gd_190_0.05_4_Pd_[nm]	Y_Gd_190_0.05_4_Hardness (H)_[MPa]	X_Gd_190_0.2_1_Pd_[nm]	Y_Gd_190_0.2_1_Hardness (H)_[MPa]	X_Gd_190_0.2_2_Pd_[nm]	Y_Gd_190_0.2_2_Hardness (H)_[MPa]	X_Gd_190_0.2_3_Pd_[nm]	Y_Gd_190_0.2_3_Hardness (H)_[MPa]	X_Gd_190_0.2_4_Pd_[nm]	Y_Gd_190_0.2_4_Hardness (H)_[MPa]	X_Gd_212_0.005_1_Pd_[nm]	Y_Gd_212_0.005_1_Hardness (H)_[MPa]	X_Gd_212_0.005_2_Pd_[nm]	Y_Gd_212_0.005_2_Hardness (H)_[MPa]	X_Gd_212_0.005_3_Pd_[nm]	Y_Gd_212_0.005_3_Hardness (H)_[MPa]	X_Gd_212_0.005_4_Pd_[nm]	Y_Gd_212_0.005_4_Hardness (H)_[MPa]	X_Gd_212_0.02_1_Pd_[nm]	Y_Gd_212_0.02_1_Hardness (H)_[MPa]	X_Gd_212_0.02_2_Pd_[nm]	Y_Gd_212_0.02_2_Hardness (H)_[MPa]	X_Gd_212_0.02_3_Pd_[nm]	Y_Gd_212_0.02_3_Hardness (H)_[MPa]	X_Gd_212_0.02_4_Pd_[nm]	Y_Gd_212_0.02_4_Hardness (H)_[MPa]	X_Gd_212_0.05_1_Pd_[nm]	Y_Gd_212_0.05_1_Hardness (H)_[MPa]	X_Gd_212_0.05_2_Pd_[nm]	Y_Gd_212_0.05_2_Hardness (H)_[MPa]	X_Gd_212_0.05_3_Pd_[nm]	Y_Gd_212_0.05_3_Hardness (H)_[MPa]	X_Gd_212_0.05_4_Pd_[nm]	Y_Gd_212_0.05_4_Hardness (H)_[MPa]	X_Gd_212_0.2_1_Pd_[nm]	Y_Gd_212_0.2_1_Hardness (H)_[MPa]	X_Gd_212_0.2_2_Pd_[nm]	Y_Gd_212_0.2_2_Hardness (H)_[MPa]	X_Gd_212_0.2_3_Pd_[nm]	Y_Gd_212_0.2_3_Hardness (H)_[MPa]	X_Gd_212_0.2_4_Pd_[nm]	Y_Gd_212_0.2_4_Hardness (H)_[MPa]
115.528923	80.36164	104.9722117	69.874736	112.9774848	79.160504	86.41396465	90.362976	61.45273264	153.886208	79.1672954	106.547688	113.310438	67.01566	50.63878704	219.035072	89.07666679	121.546264	76.93421584	125.620184	98.93919919	88.822608	78.18838776	125.407192	80.38418514	124.308976	86.15978219	91.32716	63.21473657	114.274592	79.939023	118.029104	94.69940478	65.854368	95.37831417	91.57104	88.91925314	110.367656	121.2651489	56.89816	77.18923674	109.785984	68.44281779	132.984784	83.13971968	113.70464	90.50053763	116.740072	106.5874175	62.639336	87.58916684	95.818136	77.66007079	125.229824	66.94807032	128.726312	67.31314718	138.239808	84.91387389	129.96924	72.14081625	123.873544	76.95016753	115.837624	62.43011973	125.591848	113.0108732	73.42344	101.6475111	67.618304	61.28614589	245.055824	67.28550778	389.249136	92.96710154	93.000864	97.2265993	63.679428	87.74773156	134.837344	53.81511922	239.304944	53.02746836	200.205232	64.53256601	171.971568	85.88733168	79.300248	71.32775639	124.114304	60.60367668	177.792512	70.408108	143.68712	72.9723076	117.462312	65.90328825	124.489504
117.6131723	80.384912	105.5650104	69.472456	113.7940618	81.51964	92.17864777	85.036144	63.19131708	154.452768	81.41237603	105.897072	116.7676264	64.36374	52.11855983	215.680576	91.40512961	118.819344	78.32104609	119.968352	99.79793274	86.55416	79.78027353	123.680576	82.9520156	119.70368	89.94049493	90.175448	67.48932626	111.562952	83.88355137	115.47256	95.93780975	65.086916	96.43393201	92.2282	89.78564635	111.003192	122.1136791	56.927204	81.15352531	106.365688	70.50019434	129.729616	85.47850669	114.493088	92.89643806	115.797104	111.3382626	62.76056	90.63041063	94.419352	79.62069984	118.603408	71.79400033	122.03944	69.87625965	132.735752	87.6717177	124.600424	76.82583676	116.437752	80.77552367	106.347608	65.64364882	126.452384	118.2523979	68.679296	103.6363842	66.7908	62.787473	234.96144	68.08249364	362.7075818	98.71398556	89.723984	99.15359126	64.611948	91.15000213	122.224768	56.44544547	222.902336	55.03333056	193.20464	67.02573974	161.704704	89.42396587	76.903504	73.2461863	120.528672	65.28403602	157.921024	74.73463127	132.613448	76.72274411	111.078544	71.01377465	105.370624
118.5990717	80.999144	105.7419924	71.372352	113.7611921	81.921664	92.35774718	84.909424	64.26977887	153.829008	82.67926666	104.882744	118.7321706	66.752688	53.04962308	213.875552	92.59628348	118.768504	79.47355354	123.72764	100.5716072	87.232512	80.53789685	122.732336	84.03876943	112.237464	91.68472108	86.264576	69.17049174	105.206584	84.88419452	119.311024	96.78867048	66.424884	96.67534602	94.296632	90.09635248	113.393488	122.5259218	58.540388	83.07104573	104.184824	71.96809041	126.886672	86.25951397	113.338416	94.24049363	116.733664	113.6171722	62.273424	92.30255932	96.473328	80.81699094	117.000888	75.13242152	115.55248	71.0650261	141.245296	88.59378193	119.562336	79.28908954	116.345176	82.49976225	104.436144	65.69165309	116.296312	121.3789779	67.58172	104.6827863	66.445468	63.81229592	230.034416	68.38307195	367.2686935	105.1975745	85.561432	101.3625976	62.786916	92.42383476	118.561096	57.62197638	225.394432	56.06153567	188.97832	68.74531006	163.9092	91.61055462	77.829664	74.34156612	120.685616	66.42530269	159.426736	75.56995243	136.793328	78.24996339	112.692552	73.64384866	106.543096
119.299745	83.021104	105.4693358	73.633656	113.5245245	86.255192	91.99181055	88.045104	64.94627242	156.748624	83.5572204	106.719832	119.6241362	68.762704	53.86492471	212.587504	93.45756789	120.986728	80.17004176	118.456104	101.1644201	87.668872	81.28602022	124.906592	84.08449286	107.067696	92.57350348	90.896072	70.88120869	97.975056	85.69218111	117.956272	97.76742181	66.750736	96.89870514	96.588952	90.16307245	115.06788	122.718422	60.014044	84.7814003	104.372552	73.07613921	130.686624	87.29294157	115.0134	94.95043953	117.447008	114.9405297	62.784448	93.38716731	97.777048	81.87924526	121.327176	77.33961601	121.26208	71.91855848	137.5	89.68599273	113.376976	80.92537003	114.92716	83.64915042	102.473088	67.1092072	106.421136	124.6960615	65.999412	105.613512	66.671168	63.47191752	263.75064	68.50854074	376.4383929	109.4667286	79.651448	106.5591237	57.173872	94.03327094	119.53656	58.74672648	220.525344	57.01431311	192.956816	69.74559794	162.692096	93.1571433	79.368272	75.57408779	119.65632	67.50694772	164.084496	76.66486329	135.780816	79.29790737	115.538936	75.50678518	107.366904
119.7933306	82.809888	105.1941355	76.465912	113.2307862	87.638232	91.59485163	91.449704	65.68672192	155.574096	84.16253177	108.117608	120.4821308	69.026376	54.39797033	219.215104	94.41582006	122.49064	80.73791464	123.910176	101.902262	91.120256	81.60447837	126.815552	84.5360641	104.83652	94.03865686	89.151184	72.26700154	102.731584	86.73246544	115.856184	98.56239126	67.413792	96.94733468	98.943896	90.35797433	119.40028	122.5310235	61.51154	86.06390155	105.871224	73.77122766	132.45928	87.91695443	115.230888	95.95348432	118.764584	115.8416045	64.16386	94.36048299	98.859152	83.04820888	125.664576	78.38646576	119.235344	72.73517816	135.713888	90.32188586	119.906984	82.06319057	115.677856	84.37418114	103.925824	68.06323875	111.769888	127.3071071	65.106924	106.2205429	69.442984	64.11580426	264.022736	68.8473412	400.3738827	110.4563654	81.270392	108.6667356	58.474844	92.14579938	135.491344	59.28164438	223.869312	57.56107931	192.913344	70.68346464	162.438176	94.37290327	80.38972	76.3526366	125.072728	68.41536953	156.862416	77.94157362	136.066048	80.05720757	119.106608	77.47901739	101.569776
120.6619123	87.51992	104.8849641	78.554272	112.8424177	90.72144	91.3777595	94.068056	66.09630008	160.059248	84.56247497	110.007112	121.1726647	70.554704	54.80478448	223.347904	95.31938175	122.910144	81.13262825	124.540496	102.2035179	90.740896	82.36418358	127.975288	85.44760519	100.572416	94.86601995	93.409216	73.59735074	105.333624	87.58510964	117.97508	99.85139398	67.087856	96.98631506	102.298048	90.13427415	121.553632	122.5537893	63.581072	87.14781321	104.904864	74.35788018	132.328448	88.75589936	117.09752	96.45946181	122.23064	116.599242	64.558548	95.01270439	102.073128	83.57494133	124.101088	79.54408912	120.128896	73.52038475	140.02368	90.82450249	123.232216	83.38299531	111.841152	85.20672409	107.659432	69.359489	108.843568	129.5807587	65.678004	106.4654102	69.739528	66.16883229	223.765504	69.06045293	400.5276362	108.5399961	96.29224	109.7213444	59.1853	93.11814161	135.379424	59.80878539	225.750608	57.95491184	196.560832	71.56632112	161.239024	95.42245308	81.287008	76.94682798	124.788296	69.16988778	163.826352	78.57771545	142.356416	80.92685506	116.39012	78.26855119	116.912968
121.1290089	84.964328	104.6932952	81.074648	112.6671055	93.237448	90.87470944	96.903176	66.62090801	162.451696	85.04410927	111.281192	121.8784326	71.95868	55.24190328	224.338304	95.64696328	125.527352	81.46040872	126.309448	102.5538439	92.324016	82.68188146	132.529728	85.66707763	109.245864	95.70549069	95.96352	74.4291263	105.143392	88.2641043	120.378384	101.4878095	69.93144	96.9525927	104.422432	90.12665003	126.472112	122.0887817	65.41868	87.81328624	106.326128	75.08606571	136.048048	89.19716773	118.618552	97.0400463	122.725864	117.3775137	65.88044	96.01991296	103.626872	84.58496365	123.099776	80.93653266	120.203288	74.23975245	143.01952	91.36271021	126.856072	84.11485435	119.753416	85.64362262	113.159568	70.41109939	103.509592	131.627406	63.822448	106.9936277	71.582896	59.32104753	455.837152	69.10042856	415.1173187	112.5233059	82.624848	110.9447854	59.539656	95.64152763	125.389392	60.73951114	224.870784	58.67810937	201.74552	72.54411321	165.47616	96.29099213	82.663776	77.47883976	126.372464	69.45403382	160.61288	79.48456696	145.252528	81.73629116	114.46136	79.28084014	115.907104
122.1435787	90.05464	103.932986	83.8446	112.2751985	96.036528	90.69875774	101.493472	67.01007938	163.306416	85.5683193	112.9448	122.615777	72.501768	55.37177629	231.103904	96.56776274	126.55408	81.86484256	130.926016	103.0640917	93.59056	83.04367562	133.304416	86.24491232	114.70332	96.45774941	96.390104	75.17317825	105.147256	89.0645094	124.148616	102.7583381	67.180688	96.88972388	107.743952	90.12905166	127.014416	122.1398839	66.529828	88.73456887	106.90888	75.40735894	137.108592	89.84879939	121.064376	97.76756392	124.424656	118.0564586	67.451752	96.95026212	101.931344	84.92146249	126.211032	81.56650697	121.855912	74.81991061	142.933616	92.65284979	125.4644	85.56588924	120.962696	86.44895888	115.585424	71.98485922	105.268032	133.7690387	65.879076	107.3224668	72.050144	66.03732503	273.762528	69.20487094	431.5615899	113.5652173	84.640024	112.0291518	61.393212	97.81201548	118.522816	61.21357816	227.277104	59.06175982	199.347872	73.50149852	165.650768	97.12882151	84.218336	77.93766564	126.69964	69.56887174	169.4136	79.80961895	142.33736	82.32904724	122.381688	80.04709655	112.22336
122.3955372	88.472056	103.187108	89.034016	112.0434905	98.887152	89.72328201	103.498096	67.76069675	166.24144	86.2155598	115.39444	123.2577808	75.704112	55.97400391	231.912736	97.37076132	126.631696	81.95488253	135.608176	103.2843387	96.642456	83.50908112	139.576736	86.28171843	117.309456	97.39816696	100.317376	76.05329204	108.420696	89.78362841	127.806136	103.9014806	68.356152	96.85897158	111.20032	90.07264878	132.72388	122.2055238	68.935344	89.50802308	107.621112	75.8410316	139.68216	90.51754091	121.329288	98.49795924	126.119928	118.3644434	68.10288	97.76823183	101.861928	85.75415465	127.80392	82.50354233	123.222832	75.65414465	151.240672	92.93038069	133.397392	86.25007797	116.91732	86.63144758	117.32992	73.12145052	107.63224	135.4759046	64.651724	107.4521551	75.034576	70.50594974	218.634112	69.37761461	445.6148598	114.219144	86.793208	112.6644836	61.454096	98.57478313	120.02076	61.95767985	225.503184	59.54779594	205.597392	74.17229352	168.62952	98.01925948	86.873408	78.72583519	136.215552	70.20801206	172.805648	80.12661339	144.332288	82.95841759	116.279304	80.33108628	117.90708
123.0312029	93.087112	101.1855233	98.231912	111.6062723	102.61384	89.85043364	108.687296	68.28077141	168.928992	86.3294527	118.944744	123.7651794	75.7938	56.02186962	240.0192	98.1479743	131.567192	82.41493765	136.410784	103.8553521	98.311288	83.9757514	140.417856	86.92634414	114.08668	97.84384069	103.352448	77.43682537	107.918368	90.14347568	130.498784	104.8640386	69.518168	96.98200206	112.928	90.16241875	134.943184	122.0254581	71.142304	90.39952687	110.543624	76.27242342	140.550176	91.01462241	123.60668	98.89479737	130.84168	119.174789	69.814784	98.57022144	103.884184	86.29179393	131.269496	83.24654979	123.080064	76.30989745	149.309632	93.39113924	133.108408	87.09794021	121.527152	87.02943679	120.893576	74.24280068	109.08224	137.1333592	65.878104	107.9226339	76.388576	71.0959276	221.517424	69.74863298	459.39378	114.9447716	87.38088	113.0185044	63.075396	98.87746013	121.351512	62.31663895	233.652272	59.67702235	208.10304	74.90778343	166.5256	98.9211443	86.383128	79.02558476	138.737312	70.72466901	178.115936	80.8109158	145.488832	83.23326264	118.883304	81.14848045	120.721944
